station_id,free bikes,empty slots,total bike slots,average rating,total ratings,average popularity,restaurant_count,bar_count,cafe_counts,bakery_counts,coffee_counts
0,0,32,32,7.585365853658536,2772.0,0.8237146006443955,18,1,8,2,2
1,0,23,23,7.7444444444444445,1808.0,0.7507023345203776,18,1,6,0,2
2,7,26,33,7.3545454545454545,1134.0,0.8074981629076932,18,0,4,4,1
3,8,6,14,7.709375,1669.0,0.8077381239559908,12,1,4,2,3
4,6,17,23,7.516,6061.0,0.7776038663727318,21,3,4,2,1
5,0,12,12,7.787999999999999,6363.0,0.8841450455033634,25,0,4,3,0
6,2,39,41,7.615384615384615,1917.0,0.7797688089989259,15,2,6,0,2
7,4,22,26,7.459183673469388,2643.0,0.8625182296082754,25,1,7,2,2
8,4,22,26,7.459999999999999,963.0,0.7857732745463796,20,2,5,0,2
9,5,9,14,7.642857142857143,2170.0,0.8491583290938896,30,3,3,2,0
10,7,7,14,7.718181818181819,2482.0,0.8597066304900797,22,1,0,5,4
11,3,11,14,7.4676470588235295,1290.0,0.7816290769317732,13,4,8,3,0
12,3,13,16,8.276,8256.0,0.8872514272794076,16,8,6,1,0
13,5,12,17,7.05,1413.0,0.8192914476287377,20,0,7,3,1
14,8,14,22,8.3,8811.0,0.9111327793793454,16,8,5,2,0
15,8,8,16,7.31875,4185.0,0.826888248261828,14,6,5,0,0
16,8,33,41,7.502222222222223,2274.0,0.8063797976372166,23,2,4,3,1
17,0,23,23,7.5249999999999995,951.0,0.7828955401051383,9,0,6,5,1
18,2,20,22,7.876595744680851,5091.0,0.8597168051551637,23,1,2,1,3
19,2,12,14,7.435555555555556,2182.0,0.8430882934825619,24,2,4,2,0
20,15,25,40,7.78,3803.0,0.8390458425187949,26,4,3,4,1
21,0,18,18,7.637142857142858,2217.0,0.8384879948391952,17,1,4,1,2
22,3,17,20,7.346,3327.0,0.9242419874512464,18,0,6,4,1
23,3,37,40,7.447916666666667,3302.0,0.8601596857159008,25,3,4,1,0
24,7,13,20,7.615625,1895.0,0.7967002995873608,13,3,7,2,3
25,17,13,30,7.893023255813953,5784.0,0.8234568424622689,18,5,4,2,1
26,11,9,20,7.6739999999999995,2416.0,0.8199465830083094,28,3,3,3,0
27,0,16,16,7.25,1501.0,0.7512820078005765,14,2,8,2,1
28,7,7,14,7.730434782608696,2723.0,0.8492001582725679,23,2,1,4,0
29,23,4,27,8.764,14052.0,0.9238358487366457,12,7,1,1,3
