station_id,free bikes,empty slots,total bike slots,average rating,total ratings,average popularity,restaurant_count,bar_count,cafe_counts,bakery_counts,coffee_counts
0,0,32,32,7.75,206.0,0.8326879957793981,1,0,0,0,1
1,0,23,23,7.533333333333334,185.0,0.7114516797618374,1,0,0,0,1
2,7,26,33,7.7,290.0,0.7750189989888141,5,0,0,2,0
3,8,6,14,7.433333333333334,120.0,0.720962459725284,2,0,2,0,1
4,6,17,23,7.239999999999999,1477.0,0.7496325815386354,9,0,2,2,1
5,0,12,12,7.4,563.0,0.853972358826522,4,0,2,0,0
6,2,39,41,8.5,127.0,0.7045446837374936,0,0,0,0,1
7,4,22,26,7.25,1001.0,0.8510556958786656,9,1,3,0,2
8,4,22,26,6.800000000000001,37.0,0.8396516747373115,3,0,2,0,1
9,5,9,14,7.425,1440.0,0.8443067096263637,14,1,2,1,0
10,7,7,14,7.383333333333333,182.0,0.7280457375420916,5,0,0,0,0
11,3,11,14,7.454545454545454,492.0,0.8020520570446256,3,1,5,2,0
12,3,13,16,7.771428571428571,338.0,0.8132161631822477,3,0,0,1,0
13,5,12,17,6.75,19.0,0.9231565485274998,1,0,0,0,0
14,8,14,22,7.7375,355.0,0.8351244983324855,3,0,0,1,0
15,8,8,16,6.907692307692307,310.0,0.7604224706670866,9,4,3,0,0
16,8,33,41,7.1000000000000005,598.0,0.7571646599966084,8,1,1,1,0
18,2,20,22,6.88,309.0,0.7422612486575094,2,1,1,0,0
19,2,12,14,7.199999999999999,616.0,0.8151151648268827,10,0,2,1,0
20,15,25,40,7.546428571428572,2350.0,0.8432445472677795,13,1,2,3,1
21,0,18,18,7.216666666666666,442.0,0.9409667546855948,2,0,0,1,0
22,3,17,20,6.8500000000000005,627.0,0.9188959075235995,4,0,2,1,1
23,3,37,40,7.348148148148148,1101.0,0.8385074039205596,14,1,2,1,0
24,7,13,20,7.3,12.0,0.8346899553445254,0,1,0,0,1
25,17,13,30,7.529999999999999,472.0,0.809193441663591,5,1,1,0,1
26,11,9,20,7.615,1344.0,0.8280453337855407,11,1,1,3,0
27,0,16,16,6.881818181818182,597.0,0.6846746338459342,7,0,0,0,0
28,7,7,14,6.6499999999999995,84.0,0.8192630904603093,6,0,0,0,0
29,23,4,27,8.733333333333333,3157.0,0.9067428353400033,2,4,0,1,1
30,4,23,27,7.220000000000001,280.0,0.7801120082788728,1,0,5,0,0
32,2,15,17,6.4799999999999995,71.0,0.5952926023724735,2,0,3,0,0
33,2,12,14,7.838461538461539,1196.0,0.9024906188718297,6,0,0,0,1
34,7,10,17,7.3,8.0,0.6204520189173403,0,1,0,0,0
35,5,7,12,7.65,1427.0,0.907419540495681,11,1,1,1,0
36,17,1,18,7.581818181818182,261.0,0.8970919984994938,5,0,2,1,1
37,18,2,20,8.074193548387097,2235.0,0.8234285339182854,12,4,1,1,0
38,2,12,14,7.242857142857143,385.0,0.8558856041050377,4,0,0,0,0
39,4,11,15,7.375,1246.0,0.9257228251653382,12,3,3,0,0
42,0,13,13,7.540000000000001,261.0,0.9015798993838675,2,0,0,0,0
43,15,18,33,7.06,575.0,0.784321509139213,8,0,1,1,0
44,1,11,12,7.0,62.0,0.9131903227629867,1,0,3,0,0
45,1,42,43,6.991666666666667,360.0,0.6347071486443201,8,2,4,0,0
46,0,10,10,7.788636363636363,3861.0,0.8716855257681101,20,2,4,2,2
47,23,6,29,7.2749999999999995,154.0,0.6446215589847945,4,1,0,0,0
48,8,14,22,7.525,357.0,0.7731614945452491,6,2,1,0,1
49,7,10,17,6.975,118.0,0.710486028677482,1,1,3,0,0
50,10,12,22,7.845454545454545,3841.0,0.8566632280067078,5,0,0,0,1
51,6,14,20,7.259090909090909,1412.0,0.8702627427402736,11,1,2,2,1
52,4,21,25,7.377777777777778,191.0,0.7579030297891584,2,1,6,1,0
53,2,35,37,7.175,1061.0,0.6513065799492597,2,0,2,0,0
54,16,6,22,7.716666666666667,1197.0,0.8448003449904362,9,2,4,0,1
55,1,15,16,8.1625,4024.0,0.8454161897292408,18,2,4,3,0
56,4,27,31,7.333333333333333,57.0,0.6509638788078996,3,0,1,1,1
58,1,17,18,8.05,77.0,0.7764299038251895,1,0,2,0,0
59,16,1,17,8.18888888888889,828.0,0.9066678599915838,9,5,1,0,0
60,17,3,20,7.2700000000000005,3603.0,0.8688973206715278,8,0,2,0,0
61,10,14,24,7.433333333333334,82.0,0.7616806770189847,2,1,0,0,0
62,2,19,21,7.472222222222222,677.0,0.8639036484339181,9,0,2,0,0
64,5,7,12,6.8125,202.0,0.8599146458651292,5,0,0,0,0
65,2,15,17,7.2,115.0,0.5908183068603622,4,0,0,1,0
66,5,20,25,7.529999999999999,520.0,0.7886735106507873,4,0,2,0,0
67,0,17,17,7.742222222222222,5031.0,0.8865609632016279,19,1,5,3,1
69,2,31,33,8.244444444444445,1777.0,0.9106670686287441,5,1,1,0,1
70,2,12,14,7.581818181818182,644.0,0.8282318693120796,6,0,1,1,0
71,1,15,16,7.55,161.0,0.9068841501328359,2,0,0,0,0
72,0,14,14,7.484615384615385,676.0,0.7950330990648101,3,1,4,3,0
73,0,12,12,7.32,1998.0,0.7946314510202928,8,1,1,0,0
74,0,31,31,7.3999999999999995,44.0,0.7465566295479812,0,0,1,1,0
75,0,14,14,7.154545454545455,329.0,0.8126204387438913,5,1,0,1,0
76,18,3,21,8.346875,9470.0,0.868834700553954,10,8,2,1,0
77,6,8,14,7.166666666666667,36.0,0.6734497767226273,2,0,0,0,0
