name,rating,total num ratings,popularity,distance,veracity,category,station_id
Torre Do Tombo,8.4,21,0.9437849754112261,124,4,"Government Building, Library",0
Aula Magna,8.5,127,0.986900118704426,138,4,Concert Hall,0
Alameda da Universidade,7.9,47,0.9373551523373467,121,4,"Plaza, Garden",0
Letras Bar,6.2,11,0.6593324289186592,87,3,Portuguese Restaurant,0
Horto do Campo Grande,8.2,40,0.959301339664236,337,5,Flower Store,0
Frankie,8.9,351,0.9356452433440733,379,5,Hot Dog Joint,0
Jardim do Campo Grande,9.2,199,0.9984596687581256,457,5,"Park, Lake",0
Bar Velho FDL,N/A,{},0.5568509411565202,178,1,Coffee Shop,0
Galeria 111,7.6,10,0.14600644395455317,412,3,Art Gallery,0
Casa do Lago,7.8,63,0.9451274659431349,439,5,"Restaurant, Café",0
A Horta,6.8,18,0.0010174665083940986,337,4,"Brewery, Café",0
100 Montaditos,6.7,55,0.9805268215476796,347,3,"Tapas Restaurant, Diner",0
Restaurante Jockey,8.3,65,0.9091063252501271,528,5,Portuguese Restaurant,0
Universo Ágora Café,N/A,{},0.9119043581482109,232,3,Pizzeria,0
Padel Campo Grande,7.9,18,0.9416511220394551,523,5,"Sports Club, Sports and Recreation, Sporting Goods Retail",0
Museu de Lisboa,8.2,73,0.9820388898309875,588,5,History Museum,0
Happy holie,N/A,{},0.21636707930586174,308,1,Arts and Entertainment,0
Akiafesta,N/A,{},0.8544598948617941,321,4,Arts and Entertainment,0
Pátio - ISCTE-IUL,7.3,9,0.8896755412356565,582,4,Plaza,0
Golf Spot,8.2,12,0.9242270080832061,673,5,"Restaurant, Café",0
McDonald's,6.2,48,0.9902068848567068,454,4,Fast Food Restaurant,0
Dom Queijo,7.2,19,0.05962071109603753,600,5,"Cheese Store, Theme Restaurant, Tapas Restaurant",0
Restaurante Bordalo Pinheiro,7.7,8,0.9640636481826917,705,4,Portuguese Restaurant,0
Restaurante Clube i - INDEG,7.2,11,0.8805183426601096,659,4,"Mediterranean Restaurant, Comfort Food Restaurant",0
Parque Canino do Campo Grande,N/A,{},0.6733649878469278,432,3,Dog Park,0
Dog Park,N/A,{},0.26750890283194845,434,3,Dog Park,0
Motoxplorers,8.1,11,0.8618506585269347,779,5,Motorcycle Dealership,0
Campus Point,8.3,13,0.9675965180035047,824,4,Café,0
Taberna Londrina,7.3,9,0.9755666723192584,714,3,Portuguese Restaurant,0
Loja Sical,7.2,18,0.9984738002374088,710,4,Café,0
Sam Croissants,7.7,34,0.9630320501950144,779,4,"Restaurant, Pastry Shop, Sandwich Spot",0
Palácio Pimenta. Pavilhão Branco,7.3,8,0.9428381662992482,729,3,Art Gallery,0
Croissants Premium,7.2,9,0.9960431858006896,722,4,"Bakery, Coffee Shop",0
Restaurante Hao-Hua,7.5,53,0.9911395624894014,762,5,Chinese Restaurant,0
Huang He,8.0,116,0.9918743994121305,825,5,"Chinese Restaurant, Asian Restaurant",0
Entre Nós - Petiscar e Conversar,8.1,78,0.8681956927251144,857,5,"Portuguese Restaurant, Café, Food and Beverage Retail",0
Loja NOS,6.8,5,0.9830139619015319,690,4,"Electronics Store, Mobile Phone Store",0
