latitude,longitude,timestamp,free bikes,empty slots,total slots,station_id
38.75359,-9.15717,2025-07-26T23:39:44.571202+00:00Z,0,32,32,0
38.75231,-9.15885,2025-07-26T23:39:44.571444+00:00Z,0,23,23,1
38.770657,-9.160248,2025-07-26T23:39:44.570809+00:00Z,7,26,33,2
38.78069,-9.09622,2025-07-26T23:39:44.570706+00:00Z,8,6,14,3
38.702936,-9.175234,2025-07-26T23:39:44.571010+00:00Z,6,17,23,4
38.73812,-9.14617,2025-07-26T23:39:44.570677+00:00Z,0,12,12,5
38.75115,-9.15907,2025-07-26T23:39:44.571138+00:00Z,2,39,41,6
38.73617,-9.13672,2025-07-26T23:39:44.570735+00:00Z,4,22,26,7
38.744521,-9.097661,2025-07-26T23:39:44.571469+00:00Z,4,22,26,8
38.731424,-9.135356,2025-07-26T23:39:44.570754+00:00Z,5,9,14,9
38.75784,-9.13608,2025-07-26T23:39:44.570726+00:00Z,7,7,14,10
38.76136,-9.17096,2025-07-26T23:39:44.570918+00:00Z,3,11,14,11
38.71526,-9.13694,2025-07-26T23:39:44.570923+00:00Z,3,13,16,12
38.744727,-9.193024,2025-07-26T23:39:44.571206+00:00Z,5,12,17,13
38.71498,-9.13651,2025-07-26T23:39:44.570849+00:00Z,8,14,22,14
38.756161,-9.096804,2025-07-26T23:39:44.570575+00:00Z,8,8,16,15
38.74877,-9.14872,2025-07-26T23:39:44.570745+00:00Z,8,33,41,16
38.777121,-9.15743,2025-07-26T23:39:44.570903+00:00Z,0,23,23,17
38.738086,-9.159409,2025-07-26T23:39:44.570879+00:00Z,2,20,22,18
38.746836,-9.150085,2025-07-26T23:39:44.571120+00:00Z,2,12,14,19
38.724412,-9.159288,2025-07-26T23:39:44.571152+00:00Z,15,25,40,20
38.778466,-9.097068,2025-07-26T23:39:44.570539+00:00Z,0,18,18,21
38.762584,-9.157235,2025-07-26T23:39:44.570934+00:00Z,3,17,20,22
38.74456,-9.14773,2025-07-26T23:39:44.571285+00:00Z,3,37,40,23
38.729419,-9.123307,2025-07-26T23:39:44.571330+00:00Z,7,13,20,24
38.699093,-9.182262,2025-07-26T23:39:44.571015+00:00Z,17,13,30,25
38.731264,-9.136968,2025-07-26T23:39:44.570716+00:00Z,11,9,20,26
38.76217,-9.174872,2025-07-26T23:39:44.571346+00:00Z,0,16,16,27
38.75643,-9.14697,2025-07-26T23:39:44.570834+00:00Z,7,7,14,28
38.705954,-9.141466,2025-07-26T23:39:44.571459+00:00Z,23,4,27,29
38.753789,-9.196294,2025-07-26T23:39:44.570590+00:00Z,4,23,27,30
38.710191,-9.138828,2025-07-26T23:39:44.570864+00:00Z,11,4,15,31
38.74516,-9.160048,2025-07-26T23:39:44.571474+00:00Z,2,15,17,32
38.769459,-9.092506,2025-07-26T23:39:44.570666+00:00Z,2,12,14,33
38.769665,-9.111745,2025-07-26T23:39:44.571377+00:00Z,7,10,17,34
38.729657,-9.135675,2025-07-26T23:39:44.570611+00:00Z,5,7,12,35
38.722547,-9.128819,2025-07-26T23:39:44.571321+00:00Z,17,1,18,36
38.71035,-9.12769,2025-07-26T23:39:44.571094+00:00Z,18,2,20,37
38.774505,-9.095416,2025-07-26T23:39:44.570721+00:00Z,2,12,14,38
38.746268,-9.143854,2025-07-26T23:39:44.571165+00:00Z,4,11,15,39
38.78836,-9.09974,2025-07-26T23:39:44.570793+00:00Z,8,2,10,40
38.78414,-9.09825,2025-07-26T23:39:44.571185+00:00Z,8,6,14,41
38.75491,-9.15724,2025-07-26T23:39:44.571237+00:00Z,0,13,13,42
38.762829,-9.114505,2025-07-26T23:39:44.571147+00:00Z,15,18,33,43
38.74266,-9.178764,2025-07-26T23:39:44.571020+00:00Z,1,11,12,44
38.740579,-9.166955,2025-07-26T23:39:44.571392+00:00Z,1,42,43,45
38.733749,-9.144117,2025-07-26T23:39:44.571124+00:00Z,0,10,10,46
38.793,-9.09781,2025-07-26T23:39:44.570696+00:00Z,23,6,29,47
38.742484,-9.102359,2025-07-26T23:39:44.570617+00:00Z,8,14,22,48
38.745011,-9.184358,2025-07-26T23:39:44.571170+00:00Z,7,10,17,49
38.6935,-9.20633,2025-07-26T23:39:44.570997+00:00Z,10,12,22,50
38.751481,-9.141741,2025-07-26T23:39:44.571428+00:00Z,6,14,20,51
38.763204,-9.1691,2025-07-26T23:39:44.571156+00:00Z,4,21,25,52
38.741954,-9.168795,2025-07-26T23:39:44.570622+00:00Z,2,35,37,53
38.694155,-9.212149,2025-07-26T23:39:44.570943+00:00Z,16,6,22,54
38.72228,-9.147,2025-07-26T23:39:44.570845+00:00Z,1,15,16,55
38.762605,-9.196769,2025-07-26T23:39:44.571215+00:00Z,4,27,31,56
38.74068,-9.127572,2025-07-26T23:39:44.571408+00:00Z,14,10,24,57
38.76503,-9.110724,2025-07-26T23:39:44.570660+00:00Z,1,17,18,58
38.70662,-9.14949,2025-07-26T23:39:44.570798+00:00Z,16,1,17,59
38.761218,-9.095019,2025-07-26T23:39:44.570628+00:00Z,17,3,20,60
38.770434,-9.108728,2025-07-26T23:39:44.570893+00:00Z,10,14,24,61
38.738442,-9.144196,2025-07-26T23:39:44.570958+00:00Z,2,19,21,62
38.75176,-9.13749,2025-07-26T23:39:44.571224+00:00Z,2,13,15,63
38.766075,-9.157335,2025-07-26T23:39:44.570803+00:00Z,5,7,12,64
38.75736,-9.185588,2025-07-26T23:39:44.570819+00:00Z,2,15,17,65
38.75587,-9.15503,2025-07-26T23:39:44.571372+00:00Z,5,20,25,66
38.73434,-9.14446,2025-07-26T23:39:44.571045+00:00Z,0,17,17,67
38.770808,-9.121902,2025-07-26T23:39:44.571272+00:00Z,5,16,21,68
38.724954,-9.149334,2025-07-26T23:39:44.570649+00:00Z,2,31,33,69
38.777548,-9.094686,2025-07-26T23:39:44.571417+00:00Z,2,12,14,70
38.76026,-9.17849,2025-07-26T23:39:44.571054+00:00Z,1,15,16,71
38.75954,-9.16985,2025-07-26T23:39:44.570987+00:00Z,0,14,14,72
38.74047,-9.14684,2025-07-26T23:39:44.570638+00:00Z,0,12,12,73
38.77946,-9.159014,2025-07-26T23:39:44.571336+00:00Z,0,31,31,74
38.728263,-9.159369,2025-07-26T23:39:44.571071+00:00Z,0,14,14,75
38.70663,-9.14655,2025-07-26T23:39:44.571232+00:00Z,18,3,21,76
38.739046,-9.14793,2025-07-26T23:39:44.571040+00:00Z,6,8,14,77
38.70141,-9.17502,2025-07-26T23:39:44.571058+00:00Z,19,3,22,78
38.696867,-9.204056,2025-07-26T23:39:44.571268+00:00Z,1,11,12,79
38.727094,-9.162216,2025-07-26T23:39:44.571107+00:00Z,3,11,14,80
38.71383,-9.13828,2025-07-26T23:39:44.570855+00:00Z,19,11,30,81
38.733025,-9.130805,2025-07-26T23:39:44.571264+00:00Z,11,1,12,82
38.707751,-9.132463,2025-07-26T23:39:44.571315+00:00Z,35,5,40,83
38.724869,-9.134802,2025-07-26T23:39:44.570939+00:00Z,11,7,18,84
38.760871,-9.156487,2025-07-26T23:39:44.570750+00:00Z,1,19,20,85
38.71901,-9.13577,2025-07-26T23:39:44.570840+00:00Z,2,8,10,86
38.731134,-9.156435,2025-07-26T23:39:44.570814+00:00Z,5,25,30,87
38.73736,-9.13416,2025-07-26T23:39:44.571433+00:00Z,9,32,41,88
38.72026,-9.14637,2025-07-26T23:39:44.570888+00:00Z,3,13,16,89
38.713416,-9.122548,2025-07-26T23:39:44.571115+00:00Z,0,32,32,90
38.756487,-9.137337,2025-07-26T23:39:44.570643+00:00Z,4,6,10,91
38.72894,-9.14742,2025-07-26T23:39:44.571438+00:00Z,1,15,16,92
38.747751,-9.136681,2025-07-26T23:39:44.570580+00:00Z,5,5,10,93
38.744971,-9.151449,2025-07-26T23:39:44.571351+00:00Z,2,18,20,94
38.74873,-9.14207,2025-07-26T23:39:44.571355+00:00Z,4,10,14,95
38.694942,-9.214902,2025-07-26T23:39:44.570824+00:00Z,8,3,11,96
38.752892,-9.189058,2025-07-26T23:39:44.571198+00:00Z,0,17,17,97
38.73811,-9.13956,2025-07-26T23:39:44.570992+00:00Z,0,25,25,98
38.73492,-9.16015,2025-07-26T23:39:44.571102+00:00Z,3,37,40,99
38.758207,-9.156169,2025-07-26T23:39:44.570829+00:00Z,3,17,20,100
38.749141,-9.155564,2025-07-26T23:39:44.571293+00:00Z,3,29,32,101
38.735188,-9.148443,2025-07-26T23:39:44.571281+00:00Z,0,20,20,102
38.767114,-9.15535,2025-07-26T23:39:44.571006+00:00Z,8,4,12,103
38.763505,-9.180437,2025-07-26T23:39:44.571388+00:00Z,3,16,19,104
38.695342,-9.219675,2025-07-26T23:39:44.571464+00:00Z,3,8,11,105
38.731578,-9.105308,2025-07-26T23:39:44.570769+00:00Z,14,12,26,106
38.76014,-9.17526,2025-07-26T23:39:44.571049+00:00Z,4,16,20,107
38.76134,-9.111596,2025-07-26T23:39:44.571382+00:00Z,3,22,25,108
38.748901,-9.190007,2025-07-26T23:39:44.570764+00:00Z,2,15,17,109
38.73448,-9.1546,2025-07-26T23:39:44.570633+00:00Z,1,15,16,110
38.711469,-9.153871,2025-07-26T23:39:44.571403+00:00Z,17,0,17,111
38.742368,-9.128901,2025-07-26T23:39:44.570898+00:00Z,2,15,17,112
38.74351,-9.13866,2025-07-26T23:39:44.570740+00:00Z,3,11,14,113
38.713112,-9.138952,2025-07-26T23:39:44.571142+00:00Z,12,9,21,114
38.748018,-9.165081,2025-07-26T23:39:44.571325+00:00Z,4,11,15,115
38.735352,-9.142703,2025-07-26T23:39:44.570779+00:00Z,6,17,23,116
38.735,-9.151,2025-07-26T23:39:44.570606+00:00Z,0,19,19,117
38.767761,-9.106858,2025-07-26T23:39:44.570759+00:00Z,2,18,20,118
38.72281,-9.14854,2025-07-26T23:39:44.570555+00:00Z,0,16,16,119
38.743371,-9.14523,2025-07-26T23:39:44.570977+00:00Z,2,14,16,120
38.75165,-9.148427,2025-07-26T23:39:44.570972+00:00Z,8,6,14,121
38.769044,-9.17386,2025-07-26T23:39:44.570948+00:00Z,7,15,22,122
38.735304,-9.14553,2025-07-26T23:39:44.570731+00:00Z,1,15,16,123
38.771913,-9.11314,2025-07-26T23:39:44.570963+00:00Z,4,16,20,124
38.758691,-9.19216,2025-07-26T23:39:44.571310+00:00Z,2,18,20,125
38.760986,-9.18327,2025-07-26T23:39:44.571277+00:00Z,3,7,10,126
